iter	Passed	Remaining
644	8734	4807
645	8742	4790
646	8759	4779
647	8778	4768
648	8786	4752
649	8799	4738
650	8808	4722
651	8823	4709
652	8840	4697
653	8853	4683
654	8869	4671
655	8886	4659
656	8897	4645
657	8905	4628
658	8924	4618
659	8939	4605
660	8951	4591
661	8968	4579
662	8991	4570
663	9006	4557
664	9019	4543
665	9039	4533
666	9051	4519
667	9062	4504
668	9072	4488
669	9087	4475
670	9102	4463
671	9117	4450
672	9133	4438
673	9146	4423
674	9159	4410
675	9170	4395
676	9183	4381
677	9191	4365
678	9204	4351
679	9217	4337
680	9229	4323
681	9245	4310
682	9263	4299
683	9274	4284
684	9296	4275
685	9313	4263
686	9334	4252
687	9343	4237
688	9357	4223
689	9372	4210
690	9388	4198
691	9405	4186
692	9418	4172
693	9436	4160
694	9454	4149
695	9473	4137
696	9490	4125
697	9512	4115
698	9524	4101
699	9546	4091
700	9560	4077
701	9574	4064
702	9582	4048
703	9595	4034
704	9608	4020
705	9622	4007
706	9639	3994
707	9651	3980
708	9665	3967
709	9679	3953
710	9690	3939
711	9707	3926
712	9717	3911
713	9732	3898
714	9742	3883
715	9756	3869
716	9770	3856
717	9783	3842
718	9799	3829
719	9810	3815
720	9824	3801
721	9833	3786
722	9844	3771
723	9854	3756
724	9866	3742
725	9875	3727
726	9901	3718
727	9910	3703
728	9923	3688
729	9933	3673
730	9943	3659
731	9953	3644
732	9967	3630
733	9977	3615
734	9992	3602
735	10002	3587
736	10013	3573
737	10024	3558
738	10038	3545
739	10048	3530
740	10062	3517
741	10074	3502
742	10083	3487
743	10093	3473
744	10103	3458
745	10117	3444
746	10130	3431
747	10139	3415
748	10153	3402
749	10168	3389
750	10179	3375
751	10193	3361
752	10205	3347
753	10218	3333
754	10225	3318
755	10236	3303
756	10244	3288
757	10259	3275
758	10269	3260
759	10284	3247
760	10292	3232
761	10308	3219
762	10321	3206
763	10331	3191
764	10342	3177
765	10357	3164
766	10372	3150
767	10378	3135
768	10385	3119
769	10391	3104
770	10399	3088
771	10406	3073
772	10412	3057
773	10418	3042
774	10425	3026
775	10431	3011
776	10438	2995
777	10444	2980
778	10450	2964
779	10457	2949
780	10464	2934
781	10471	2919
782	10477	2903
783	10484	2888
784	10491	2873
785	10497	2858
786	10504	2842
787	10511	2827
788	10517	2812
789	10524	2797
790	10531	2782
791	10537	2767
792	10544	2752
793	10550	2737
794	10557	2722
795	10564	2707
796	10570	2692
797	10576	2677
798	10583	2662
799	10590	2647
800	10596	2632
801	10603	2617
802	10612	2603
803	10620	2588
804	10631	2575
805	10641	2561
806	10651	2547
807	10661	2533
808	10672	2519
809	10683	2506
810	10691	2491
811	10701	2477
812	10717	2465
813	10731	2452
814	10740	2438
815	10749	2423
816	10757	2409
817	10766	2395
818	10777	2381
819	10788	2368
820	10798	2354
821	10812	2341
822	10824	2327
823	10834	2314
824	10842	2299
825	10852	2286
826	10861	2272
827	10871	2258
828	10883	2244
829	10891	2230
830	10902	2217
831	10913	2203
832	10926	2190
833	10933	2176
834	10942	2162
835	10952	2148
836	10962	2134
837	10972	2121
838	10982	2107
839	10991	2093
840	11000	2079
841	11010	2066
842	11021	2052
843	11032	2039
844	11045	2026
845	11054	2012
846	11062	1998
847	11071	1984
848	11082	1971
849	11091	1957
850	11103	1944
851	11110	1930
852	11120	1916
853	11128	1902
854	11135	1888
855	11143	1874
856	11151	1860
857	11161	1847
858	11170	1833
859	11180	1820
860	11188	1806
861	11196	1792
862	11203	1778
863	11210	1764
864	11219	1750
865	11227	1737
866	11236	1723
867	11243	1709
868	11252	1696
869	11261	1682
870	11269	1669
871	11277	1655
872	11284	1641
873	11290	1627
874	11299	1614
875	11305	1600
876	11311	1586
877	11318	1572
878	11325	1558
879	11332	1545
880	11339	1531
881	11345	1517
882	11351	1504
883	11358	1490
884	11366	1476
885	11373	1463
886	11380	1449
887	11385	1436
888	11392	1422
889	11398	1408
890	11406	1395
891	11414	1381
892	11422	1368
893	11430	1355
894	11438	1341
895	11445	1328
896	11451	1314
897	11458	1301
898	11464	1288
899	11471	1274
900	11477	1261
901	11484	1247
902	11491	1234
903	11497	1221
904	11504	1207
905	11510	1194
906	11516	1180
907	11522	1167
